Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
42,,Motion Attribution for Video Generation,Xindi Wu; Despoina Paschalidou; Jun Gao; Antonio Torralba; Laura Leal-Taixé,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08828v1,https://arxiv.org/pdf/2601.08828v1,arxiv,,"Despite the rapid progress of video generation models, the role of data in influencing motion is poorly understood. We present Motive (MOTIon attribution for Video gEneration), a motion-centric, gradient-based data attribution framework that scales to modern, large, high-quality video datasets and m"
43,,The Quantum Complexity of String Breaking in the Schwinger Model,Sebastian Grieninger; Martin J. Savage; Nikita A. Zemlevskiy,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08825v1,https://arxiv.org/pdf/2601.08825v1,arxiv,,"String breaking, the process by which flux tubes fragment into hadronic states, is a hallmark of confinement in strongly-interacting quantum field theories. We examine a suite of quantum complexity measures using Matrix Product States to dissect the string breaking process in the 1+1D Schwinger mode"
44,,Breaking the Orthogonality Barrier in Quantum LDPC Codes,Kenta Kasai,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08824v1,https://arxiv.org/pdf/2601.08824v1,arxiv,,"Classical low-density parity-check (LDPC) codes are a widely deployed and well-established technology, forming the backbone of modern communication and storage systems. It is well known that, in this classical setting, increasing the girth of the Tanner graph while maintaining regular degree distrib"
45,,Lattice-based equation of state with a critical point from constant entropy contours and its comparison to effective QCD approaches,Hitansh Shah; Mauricio Hippert; Jorge Noronha; Claudia Ratti; Volodymyr Vovchenko,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08823v1,https://arxiv.org/pdf/2601.08823v1,arxiv,,"In this work, we systematically assess the performance of a new method from [H. Shah et al., Phys. Rev. C 113, L012201] for locating the QCD critical point using constant-entropy contours by testing it against various effective QCD approaches. We demonstrate that, while the method yields spurious cr"
46,,The drastic impact of Eddington-limit induced mass ejections on massive star populations,D. Pauli; N. Langer; A. Schootemeijer; P. Marchant; H. Jin,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08822v1,https://arxiv.org/pdf/2601.08822v1,arxiv,,"Massive stars are the key engines of the Universe. However, their evolution and thus their ionizing feedback are still not fully understood. One of the largest gaps in current stellar evolution calculations is the lack of a model for the mass ejections that occur when the stars reach the Eddington l"
47,,MemRec: Collaborative Memory-Augmented Agentic Recommender System,Weixin Chen; Yuhan Zhao; Jingyuan Huang; Zihe Ye; Clark Mingxuan Ju,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08816v1,https://arxiv.org/pdf/2601.08816v1,arxiv,,"The evolution of recommender systems has shifted preference storage from rating matrices and dense embeddings to semantic memory in the agentic era. Yet existing agents rely on isolated memory, overlooking crucial collaborative signals. Bridging this gap is hindered by the dual challenges of distill"
48,,An Optimal Observable Machine for reinterpretable measurements in high-energy physics,Torben Mohr; Alejandro Quiroga Triviño; Fabian Riemer; Artur Monsch; Matteo Defranchis,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08813v1,https://arxiv.org/pdf/2601.08813v1,arxiv,,"A machine-learning-based framework for constructing generator-level observables optimized for parameter extraction in particle physics analyses is introduced, referred to as the Optimal Observable Machine (OOM). Unfoldable differential distributions are learned that maximize sensitivity to a paramet"
49,,Unstable synthetic deformations II: Infinitesimal extensions,William Balderrama; Piotr Pstrągowski,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08812v1,https://arxiv.org/pdf/2601.08812v1,arxiv,,"This paper is the second in a series devoted to the study of unstable synthetic deformations through the lens of Malcev theories: certain $\infty$-categorical algebraic theories $\mathcal{P}$ with well-behaved $\infty$-categories $\mathrm{Model}_{\mathcal{P}}$ of models. In this paper, we show that "
50,,Reasoning Matters for 3D Visual Grounding,Hsiang-Wei Huang; Kuang-Ming Chen; Wenhao Chai; Cheng-Yen Yang; Jen-Hao Cheng,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08811v1,https://arxiv.org/pdf/2601.08811v1,arxiv,,"The recent development of Large Language Models (LLMs) with strong reasoning ability has driven research in various domains such as mathematics, coding, and scientific discovery. Meanwhile, 3D visual grounding, as a fundamental task in 3D understanding, still remains challenging due to the limited r"
51,,Strong coupling expansion of $1\over 2$ BPS Wilson loop in SYM theory and 2-loop Green-Schwarz string in AdS$_5 \times $S$^5$,Matteo Beccaria; Stefan A. Kurlyand; Arkady A. Tseytlin,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08809v1,https://arxiv.org/pdf/2601.08809v1,arxiv,,The exact localization result for the expectation value of the $1\over 2$ BPS circular Wilson loop in ${\cal N}=4$ SYM theory is given in the planar limit by the famous Bessel function expression: $\langle W\rangle = {2N\over \sqrt λ} I_1 ( \sqrt λ)$. Expanded in large $λ$ and expressed in terms of 
